path	line	language	literal	keys	source
lib/core/router/app_router.dart	827	VI	Về trang chủ	publicProfileHomeButton,matchGoHome,paymentResult_backToHome,checkoutBackToHome	child: const Text('Về trang chủ'),
lib/core/widgets/app_share_modal.dart	181	VI	Mã QR	lite_qrCodeTitle	label: 'Mã QR',
lib/core/widgets/app_update_gate.dart	68	VI	Để sau	dashboard_later	TextButton(onPressed: () => Navigator.pop(context), child: const Text('Để sau')),
lib/core/widgets/match_card/match_card_live.dart	44	VI	LIVE	matchLiveStatus	Text('LIVE',
lib/features/admin/screens/admin_clubs_screen.dart	60	VI	Quản lý CLB	club_manageClub	title: const Text('Quản lý CLB', style: TextStyle(fontWeight: FontWeight.w900, fontSize: 20)),
lib/features/admin/screens/admin_clubs_screen.dart	337	VI	Duyệt	club_approve	label: 'Duyệt',
lib/features/admin/screens/admin_clubs_screen.dart	348	VI	Từ chối	notification_decline,club_reject	label: club.status == 'PENDING' ? 'Từ chối' : 'Vô hiệu',
lib/features/admin/screens/admin_clubs_screen.dart	443	VI	Hủy	matchesCancel,matchCancel	TextButton(onPressed: () => Navigator.pop(ctx), child: const Text('Hủy')),
lib/features/admin/screens/admin_clubs_screen.dart	467	VI	Xác nhận	matchConfirm,lite_confirmButton	child: const Text('Xác nhận', style: TextStyle(color: Colors.white)),
lib/features/admin/screens/pending_clubs_screen.dart	62	VI	Thử lại	infoRetry,matchesRetry,matchChatRetry,myReportsRetry	FilledButton(onPressed: () => ref.invalidate(pendingCommunitiesProvider), child: const Text('Thử lại')),
lib/features/admin/screens/pending_clubs_screen.dart	124	VI	Chờ duyệt	club_pendingRequests,club_pending,clubInvitesPending	child: const Text('Chờ duyệt', style: TextStyle(fontSize: 9, fontWeight: FontWeight.w800, color: Color(0xFFF59E0B))),
lib/features/admin/screens/pending_clubs_screen.dart	155	VI	Duyệt	club_approve	Text('Duyệt', style: TextStyle(color: Colors.white, fontWeight: FontWeight.w800, fontSize: 14)),
lib/features/admin/screens/pending_clubs_screen.dart	177	VI	Từ chối	notification_decline,club_reject	Text('Từ chối', style: TextStyle(color: colors.textSecondary, fontWeight: FontWeight.w700, fontSize: 14)),
lib/features/admin/screens/pending_clubs_screen.dart	224	VI	Hủy	matchesCancel,matchCancel	TextButton(onPressed: () => Navigator.pop(ctx), child: const Text('Hủy')),
lib/features/admin/screens/verification_screen.dart	351	VI	Đã xác thực	infoEmailVerified	content: Text('Đã xác thực'),
lib/features/admin/screens/verification_screen.dart	389	VI	Hủy	matchesCancel,matchCancel	TextButton(onPressed: () => Navigator.pop(ctx, false), child: const Text('Hủy')),
lib/features/admin/screens/verification_screen.dart	393	VI	Từ chối	notification_decline,club_reject	child: const Text('Từ chối', style: TextStyle(color: Colors.white)),
lib/features/bracket/screens/auto_draw_screen.dart	152	VI	Bốc thăm & Phân bảng	manageDraw	title: const Text('Bốc thăm & Phân bảng'),
lib/features/bracket/screens/auto_draw_screen.dart	351	VI	VS	matchVsLabel	child: Text('VS', style: TextStyle(color: context.colors.error, fontWeight: FontWeight.bold)),
lib/features/bracket/screens/bracket_diagram_screen.dart	137	VI	Quay lại	matchBack,myReportsBack	tooltip: 'Quay lại',
lib/features/bracket/screens/bracket_view_screen.dart	717	VI	Trực tiếp	matchLiveTitle	label: 'Trực tiếp',
lib/features/bracket/screens/bracket_view_screen.dart	778	VI	Vòng bảng	groupStage	label: 'Vòng bảng',
lib/features/bracket/widgets/standings_view.dart	174	VI	W	wonHeader	DataColumn(label: Text('W')),
lib/features/bracket/widgets/standings_view.dart	175	VI	D	drawnHeader	DataColumn(label: Text('D')),
lib/features/bracket/widgets/standings_view.dart	176	VI	L	lostHeader	DataColumn(label: Text('L')),
lib/features/bracket/widgets/standings_view.dart	179	VI	GD	gdHeader	DataColumn(label: Text('GD')),
lib/features/bracket/widgets/standings_view.dart	185	VI	Trận	publicProfileMatchesShort,rankingMatches	DataColumn(label: Text('Trận')),
lib/features/chat/screens/chat_detail_screen.dart	210	VI	Tin nhắn đã bị thu hồi	chatScreenRevokedMessage	content: 'Tin nhắn đã bị thu hồi',
lib/features/chat/screens/chat_detail_screen.dart	693	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
